,Nama_Produk,Akun,Ulasan,rate,Ulasan_tokenize,Ulasan_normalized,Ulasan_stop_removed	,Ulasan_Stemmed,Ulasan_clean
11,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,M***e,kirim cepat sesuai pesan respon jual cepat ramah,5,"['kirim', 'cepat', 'sesuai', 'pesan', 'respon', 'jual', 'cepat', 'ramah']","['kirim', 'cepat', 'sesuai', 'pesan', 'respon', 'jual', 'cepat', 'ramah']","['kirim', 'cepat', 'pesan', 'respon', 'jual', 'cepat', 'ramah']","['kirim', 'cepat', 'pesan', 'respon', 'jual', 'cepat', 'ramah']",kirim cepat pesan respon jual cepat ramah
12,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,R***I,barang terima sesuai pesan aman,5,"['barang', 'terima', 'sesuai', 'pesan', 'aman']","['barang', 'terima', 'sesuai', 'pesan', 'aman']","['barang', 'terima', 'pesan', 'aman']","['barang', 'terima', 'pesan', 'aman']",barang terima pesan aman
13,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,Frida,tidak ada komentar,5,"['tidak', 'ada', 'komentar']","['tidak', 'ada', 'komentar']",['komentar'],['komentar'],komentar
14,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,Renold,kecewa berat masker hijab warna hitam tali masker gampang putus tali masker pendek,5,"['kecewa', 'berat', 'masker', 'hijab', 'warna', 'hitam', 'tali', 'masker', 'gampang', 'putus', 'tali', 'masker', 'pendek']","['kecewa', 'berat', 'masker', 'hijab', 'warna', 'hitam', 'tali', 'masker', 'gampang', 'putus', 'tali', 'masker', 'pendek']","['kecewa', 'berat', 'masker', 'hijab', 'warna', 'hitam', 'tali', 'masker', 'gampang', 'putus', 'tali', 'masker', 'pendek']","['kecewa', 'berat', 'masker', 'hijab', 'warna', 'hitam', 'tali', 'masker', 'gampang', 'putus', 'tali', 'masker', 'pendek']",kecewa berat masker hijab warna hitam tali masker gampang putus tali masker pendek
15,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,Roy,kirim sesuai estimasi baik,5,"['kirim', 'sesuai', 'estimasi', 'baik']","['kirim', 'sesuai', 'estimasi', 'baik']","['kirim', 'estimasi', 'baik']","['kirim', 'estimasi', 'baik']",kirim estimasi baik
16,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,Ridwan,karet headloop nya pendek istri pakai untung anak,1,"['karet', 'headloop', 'nya', 'pendek', 'istri', 'pakai', 'untung', 'anak']","['karet', 'headloop', 'nya', 'pendek', 'istri', 'pakai', 'untung', 'anak']","['karet', 'headloop', 'pendek', 'istri', 'pakai', 'untung', 'anak']","['karet', 'headloop', 'pendek', 'istri', 'pakai', 'untung', 'anak']",karet headloop pendek istri pakai untung anak
17,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,Fatma,barang bagus hrga murah layan muas,2,"['barang', 'bagus', 'hrga', 'murah', 'layan', 'muas']","['barang', 'bagus', 'hrga', 'murah', 'layan', 'muas']","['barang', 'bagus', 'hrga', 'murah', 'layan', 'muas']","['barang', 'bagus', 'hrga', 'murah', 'layan', 'muas']",barang bagus hrga murah layan muas
18,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,v***a,bagus barang sesuai,3,"['bagus', 'barang', 'sesuai']","['bagus', 'barang', 'sesuai']","['bagus', 'barang']","['bagus', 'barang']",bagus barang
19,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,A***s,tidak ada komentar,5,"['tidak', 'ada', 'komentar']","['tidak', 'ada', 'komentar']",['komentar'],['komentar'],komentar
20,MASKER 3PLY IZIN KEMENKES MASKER MEDIS KESEHATAN 3 PLY ALKINDO 50 PCS - Biru Earloop,Renold,masker medis lumayan cepat tuju harga murah barang murahansmoga masker medis nya manfaat,5,"['masker', 'medis', 'lumayan', 'cepat', 'tuju', 'harga', 'murah', 'barang', 'murahansmoga', 'masker', 'medis', 'nya', 'manfaat']","['masker', 'medis', 'lumayan', 'cepat', 'tuju', 'harga', 'murah', 'barang', 'murahansmoga', 'masker', 'medis', 'nya', 'manfaat']","['masker', 'medis', 'lumayan', 'cepat', 'tuju', 'harga', 'murah', 'barang', 'murahansmoga', 'masker', 'medis', 'manfaat']","['masker', 'medis', 'lumayan', 'cepat', 'tuju', 'harga', 'murah', 'barang', 'murahansmoga', 'masker', 'medis', 'manfaat']",masker medis lumayan cepat tuju harga murah barang murahansmoga masker medis manfaat
21,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,Parama,sesuai pesan packing kirim cepat terima kasih ya,5,"['sesuai', 'pesan', 'packing', 'kirim', 'cepat', 'terima', 'kasih', 'ya']","['sesuai', 'pesan', 'packing', 'kirim', 'cepat', 'terima', 'kasih', 'ya']","['pesan', 'packing', 'kirim', 'cepat', 'terima', 'kasih']","['pesan', 'packing', 'kirim', 'cepat', 'terima', 'kasih']",pesan packing kirim cepat terima kasih
22,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,S***l,sesuai harga,5,"['sesuai', 'harga']","['sesuai', 'harga']",['harga'],['harga'],harga
23,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,Galih,kirim cepat barang sesuai,5,"['kirim', 'cepat', 'barang', 'sesuai']","['kirim', 'cepat', 'barang', 'sesuai']","['kirim', 'cepat', 'barang']","['kirim', 'cepat', 'barang']",kirim cepat barang
24,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,Sujatmiko,sesuai pesan sip,5,"['sesuai', 'pesan', 'sip']","['sesuai', 'pesan', 'sip']","['pesan', 'sip']","['pesan', 'sip']",pesan sip
25,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,A***s,nice one,5,"['nice', 'one']","['nice', 'one']",['nice'],['nice'],nice
26,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,Hae,sesuai pesan,4,"['sesuai', 'pesan']","['sesuai', 'pesan']",['pesan'],['pesan'],pesan
27,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,M***i,barang rumah,4,"['barang', 'rumah']","['barang', 'rumah']","['barang', 'rumah']","['barang', 'rumah']",barang rumah
28,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,Achmad,proses nya cepat thanks gan,5,"['proses', 'nya', 'cepat', 'thanks', 'gan']","['proses', 'nya', 'cepat', 'thanks', 'gan']","['proses', 'cepat', 'thanks', 'gan']","['proses', 'cepat', 'thanks', 'gan']",proses cepat thanks gan
29,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,M***r,barang sesuai pesan,5,"['barang', 'sesuai', 'pesan']","['barang', 'sesuai', 'pesan']","['barang', 'pesan']","['barang', 'pesan']",barang pesan
30,Masker 3 ply Medis Masker Bedah Kemenkes 3ply isi 50pcs Merk Orlee - Masker Earloop,s***a,kirim nya cepat barang aman rusa,3,"['kirim', 'nya', 'cepat', 'barang', 'aman', 'rusa']","['kirim', 'nya', 'cepat', 'barang', 'aman', 'rusa']","['kirim', 'cepat', 'barang', 'aman', 'rusa']","['kirim', 'cepat', 'barang', 'aman', 'rusa']",kirim cepat barang aman rusa
31,Masker Evo PlusMed 4d Medis - Putih,A***i,masker favorite senang beli official store jamin,5,"['masker', 'favorite', 'senang', 'beli', 'official', 'store', 'jamin']","['masker', 'favorite', 'senang', 'beli', 'official', 'store', 'jamin']","['masker', 'favorite', 'senang', 'beli', 'official', 'store', 'jamin']","['masker', 'favorite', 'senang', 'beli', 'official', 'store', 'jamin']",masker favorite senang beli official store jamin
32,Masker Evo PlusMed 4d Medis - Putih,L***a,packingan bagus rapi bubblewrap kirim cepat sesuai janji besok puas,5,"['packingan', 'bagus', 'rapi', 'bubblewrap', 'kirim', 'cepat', 'sesuai', 'janji', 'besok', 'puas']","['packingan', 'bagus', 'rapi', 'bubblewrap', 'kirim', 'cepat', 'sesuai', 'janji', 'besok', 'puas']","['packingan', 'bagus', 'rapi', 'bubblewrap', 'kirim', 'cepat', 'janji', 'besok', 'puas']","['packingan', 'bagus', 'rapi', 'bubblewrap', 'kirim', 'cepat', 'janji', 'besok', 'puas']",packingan bagus rapi bubblewrap kirim cepat janji besok puas
33,Masker Evo PlusMed 4d Medis - Putih,cynthia,kualitas okpengiriman cepat bangetdapet cashback,5,"['kualitas', 'okpengiriman', 'cepat', 'bangetdapet', 'cashback']","['kualitas', 'okpengiriman', 'cepat', 'bangetdapet', 'cashback']","['kualitas', 'okpengiriman', 'cepat', 'bangetdapet', 'cashback']","['kualitas', 'okpengiriman', 'cepat', 'bangetdapet', 'cashback']",kualitas okpengiriman cepat bangetdapet cashback
34,Masker Evo PlusMed 4d Medis - Putih,B***k,barang sesuai pesan cepat,5,"['barang', 'sesuai', 'pesan', 'cepat']","['barang', 'sesuai', 'pesan', 'cepat']","['barang', 'pesan', 'cepat']","['barang', 'pesan', 'cepat']",barang pesan cepat
35,Masker Evo PlusMed 4d Medis - Putih,Novi,barang asli evorecomended,5,"['barang', 'asli', 'evorecomended']","['barang', 'asli', 'evorecomended']","['barang', 'asli', 'evorecomended']","['barang', 'asli', 'evorecomended']",barang asli evorecomended
36,Masker Evo PlusMed 4d Medis - Putih,J***a,pesan masker warna hijau datang warna pink,2,"['pesan', 'masker', 'warna', 'hijau', 'datang', 'warna', 'pink']","['pesan', 'masker', 'warna', 'hijau', 'datang', 'warna', 'pink']","['pesan', 'masker', 'warna', 'hijau', 'datang', 'warna', 'pink']","['pesan', 'masker', 'warna', 'hijau', 'datang', 'warna', 'pink']",pesan masker warna hijau datang warna pink
37,Masker Evo PlusMed 4d Medis - Putih,G***i,order emas bagus cepat moga tambah warna cute ya,5,"['order', 'emas', 'bagus', 'cepat', 'moga', 'tambah', 'warna', 'cute', 'ya']","['order', 'emas', 'bagus', 'cepat', 'moga', 'tambah', 'warna', 'cute', 'ya']","['order', 'emas', 'bagus', 'cepat', 'moga', 'tambah', 'warna', 'cute']","['order', 'emas', 'bagus', 'cepat', 'moga', 'tambah', 'warna', 'cute']",order emas bagus cepat moga tambah warna cute
38,Masker Evo PlusMed 4d Medis - Putih,M***i,pilih no masker medis keluarga,3,"['pilih', 'no', 'masker', 'medis', 'keluarga']","['pilih', 'no', 'masker', 'medis', 'keluarga']","['pilih', 'no', 'masker', 'medis', 'keluarga']","['pilih', 'no', 'masker', 'medis', 'keluarga']",pilih no masker medis keluarga
39,Masker Evo PlusMed 4d Medis - Putih,Felix,packing fisik barang rapi safety terima kasih souvenir nya,4,"['packing', 'fisik', 'barang', 'rapi', 'safety', 'terima', 'kasih', 'souvenir', 'nya']","['packing', 'fisik', 'barang', 'rapi', 'safety', 'terima', 'kasih', 'souvenir', 'nya']","['packing', 'fisik', 'barang', 'rapi', 'safety', 'terima', 'kasih', 'souvenir']","['packing', 'fisik', 'barang', 'rapi', 'safety', 'terima', 'kasih', 'souvenir']",packing fisik barang rapi safety terima kasih souvenir
40,Masker Evo PlusMed 4d Medis - Putih,Celine,bagus,5,['bagus'],['bagus'],['bagus'],['bagus'],bagus
41,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,J***a,langgan,5,['langgan'],['langgan'],['langgan'],['langgan'],langgan
42,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,Rita,suka rapat nyaman banget,5,"['suka', 'rapat', 'nyaman', 'banget']","['suka', 'rapat', 'nyaman', 'banget']","['suka', 'rapat', 'nyaman', 'banget']","['suka', 'rapat', 'nyaman', 'banget']",suka rapat nyaman banget
43,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,Y***A,proses cepat respon jual ramah packaging rapi mantaaaaaapp,5,"['proses', 'cepat', 'respon', 'jual', 'ramah', 'packaging', 'rapi', 'mantaaaaaapp']","['proses', 'cepat', 'respon', 'jual', 'ramah', 'packaging', 'rapi', 'mantap']","['proses', 'cepat', 'respon', 'jual', 'ramah', 'packaging', 'rapi', 'mantap']","['proses', 'cepat', 'respon', 'jual', 'ramah', 'packaging', 'rapi', 'mantap']",proses cepat respon jual ramah packaging rapi mantap
44,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,B***a,good quality percaya,5,"['good', 'quality', 'percaya']","['good', 'quality', 'percaya']","['good', 'quality', 'percaya']","['good', 'quality', 'percaya']",good quality percaya
45,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,Derry,kirim cepat bandung mantap,5,"['kirim', 'cepat', 'bandung', 'mantap']","['kirim', 'cepat', 'bandung', 'mantap']","['kirim', 'cepat', 'bandung', 'mantap']","['kirim', 'cepat', 'bandung', 'mantap']",kirim cepat bandung mantap
46,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,Firdaus,respon cepat packing rapi kirim barang sesuai,5,"['respon', 'cepat', 'packing', 'rapi', 'kirim', 'barang', 'sesuai']","['respon', 'cepat', 'packing', 'rapi', 'kirim', 'barang', 'sesuai']","['respon', 'cepat', 'packing', 'rapi', 'kirim', 'barang', 'sesuai']","['respon', 'cepat', 'packing', 'rapi', 'kirim', 'barang', 'sesuai']",respon cepat packing rapi kirim barang sesuai
47,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,N***a,produk asli bungkus plastik segel mahal toko jamin kualitas,3,"['produk', 'asli', 'bungkus', 'plastik', 'segel', 'mahal', 'toko', 'jamin', 'kualitas']","['produk', 'asli', 'bungkus', 'plastik', 'segel', 'mahal', 'toko', 'jamin', 'kualitas']","['produk', 'asli', 'bungkus', 'plastik', 'segel', 'mahal', 'toko', 'jamin', 'kualitas']","['produk', 'asli', 'bungkus', 'plastik', 'segel', 'mahal', 'toko', 'jamin', 'kualitas']",produk asli bungkus plastik segel mahal toko jamin kualitas
48,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,Denys,bagus,4,['bagus'],['bagus'],['bagus'],['bagus'],bagus
49,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,R***z,recomended,5,['recomended'],['rekomendasi'],['rekomendasi'],['rekomendasi'],rekomendasi
50,SENSI - Convex Mask 4 Ply | Masker Earloop 4 Ply | Masker Sensi - Merah,A***i,kirim nya cepat,5,"['kirim', 'nya', 'cepat']","['kirim', 'cepat']","['kirim', 'cepat']","['kirim', 'cepat']",kirim cepat
51,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,Nova,re order sekian kali mantap puas order,5,"['re', 'order', 'sekian', 'kali', 'mantap', 'puas', 'order']","['re', 'order', 'sekian', 'kali', 'mantap', 'puas', 'order']","['re', 'order', 'sekian', 'kali', 'mantap', 'puas', 'order']","['re', 'order', 'sekian', 'kali', 'mantap', 'puas', 'order']",re order sekian kali mantap puas order
52,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,A***d,barang terima terima kasih,5,"['barang', 'terima', 'terima', 'kasih']","['barang', 'terima', 'terima', 'kasih']","['barang', 'terima', 'terima', 'kasih']","['barang', 'terima', 'terima', 'kasih']",barang terima terima kasih
53,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,edduwar,barang baguz cepat,5,"['barang', 'baguz', 'cepat']","['barang', 'bagus', 'cepat']","['barang', 'bagus', 'cepat']","['barang', 'bagus', 'cepat']",barang bagus cepat
54,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,Seindah,rugi beli toko rekomended,4,"['rugi', 'beli', 'toko', 'rekomended']","['rugi', 'beli', 'toko', 'rekomendasi']","['rugi', 'beli', 'toko', 'rekomendasi']","['rugi', 'beli', 'toko', 'rekomendasi']",rugi beli toko rekomendasi
55,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,A***s,tidak ada komentar,5,"['tidak', 'ada', 'komentar']","['tidak', 'ada', 'komentar']","['tidak', 'ada', 'komentar']","['tidak', 'ada', 'komentar']",tidak ada komentar
56,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,David,mantul,5,['mantul'],['mantul'],['mantul'],['mantul'],mantul
57,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,Anggia,bungkus plastik sealed debu kotor,3,"['bungkus', 'plastik', 'sealed', 'debu', 'kotor']","['bungkus', 'plastik', 'segel', 'debu', 'kotor']","['bungkus', 'plastik', 'segel', 'debu', 'kotor']","['bungkus', 'plastik', 'segel', 'debu', 'kotor']",bungkus plastik segel debu kotor
58,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,W***a,sippp beli,5,"['sippp', 'beli']","['sip', 'beli']","['sip', 'beli']","['sip', 'beli']",sip beli
59,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,M***d,manstap,5,['manstap'],['mantap'],['mantap'],['mantap'],mantap
60,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,Edwin,barang terima,5,"['barang', 'terima']","['barang', 'terima']","['barang', 'terima']","['barang', 'terima']",barang terima
61,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,a***a,baik,5,['baik'],['baik'],['baik'],['baik'],baik
62,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,dharma,tidak ada komentar,2,"['tidak', 'ada', 'komentar']","['tidak', 'ada', 'komentar']",['komentar'],['komentar'],tidak ada komentar
63,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,Lesmono,warna kalem pakai bini sesuai baju,5,"['warna', 'kalem', 'pakai', 'bini', 'sesuai', 'baju']","['warna', 'kalem', 'pakai', 'bini', 'sesuai', 'baju']","['warna', 'kalem', 'pakai', 'bini', 'baju']","['warna', 'kalem', 'pakai', 'bini', 'baju']",warna kalem pakai bini sesuai baju
64,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,s***i,tooopp puuaaassss,5,"['tooopp', 'puuaaassss']","['toop', 'puas']","['toop', 'puas']","['toop', 'puas']",tooopp puuaaassss
65,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,S***i,barang sesuai pesan bagus kirim,5,"['barang', 'sesuai', 'pesan', 'bagus', 'kirim']","['barang', 'sesuai', 'pesan', 'bagus', 'kirim']","['barang', 'pesan', 'bagus', 'kirim']","['barang', 'pesan', 'bagus', 'kirim']",barang sesuai pesan bagus kirim
66,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,Melani,bagus rapi foto langsung pakai tali gampang putus relatif sakit telinga terima kasih ya,3,"['bagus', 'rapi', 'foto', 'langsung', 'pakai', 'tali', 'gampang', 'putus', 'relatif', 'sakit', 'telinga', 'terima', 'kasih', 'ya']","['bagus', 'rapi', 'foto', 'langsung', 'pakai', 'tali', 'gampang', 'putus', 'relatif', 'sakit', 'telinga', 'terima', 'kasih', 'ya']","['bagus', 'rapi', 'foto', 'pakai', 'tali', 'putus', 'sakit', 'telinga', 'terima', 'kasih', 'ya']","['bagus', 'rapi', 'foto', 'pakai', 'tali', 'putus', 'sakit', 'telinga', 'terima', 'kasih', 'ya']",bagus rapi foto langsung pakai tali gampang putus relatif sakit telinga terima kasih ya
67,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,Darwin,ok,4,['ok'],['ok'],['ok'],['ok'],ok
68,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,SETIAWAN,packing rapi respon cepat,5,"['packing', 'rapi', 'respon', 'cepat']","['packing', 'rapi', 'respon', 'cepat']","['packing', 'rapi', 'respon', 'cepat']","['packing', 'rapi', 'respon', 'cepat']",packing rapi respon cepat
69,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,arief,mantap jiwa moga harga turun,5,"['mantap', 'jiwa', 'moga', 'harga', 'turun']","['mantap', 'jiwa', 'moga', 'harga', 'turun']","['mantap', 'jiwa', 'harga', 'turun']","['mantap', 'jiwa', 'harga', 'turun']",mantap jiwa moga harga turun
70,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,arief,next order,5,"['next', 'order']","['next', 'order']",['order'],['order'],next order
71,Disposable Face Mask 50pcs / BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,H***k,kualitas bagus abal,3,"['kualitas', 'bagus', 'abal']","['kualitas', 'bagus', 'abal']","['kualitas', 'bagus', 'abal']","['kualitas', 'bagus', 'abal']",kualitas bagus abal
72,Disposable Face Mask 50pcs / BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,d***i,rekomendasi kurir,2,"['rekomendasi', 'kurir']","['rekomendasi', 'kurir']","['rekomendasi', 'kurir']","['rekomendasi', 'kurir']",rekomendasi kurir
73,Disposable Face Mask 50pcs / BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,Rizki,langgan beli masker kualitas masker bagus kirim cepat harga affordable thank you,5,"['langgan', 'beli', 'masker', 'kualitas', 'masker', 'bagus', 'kirim', 'cepat', 'harga', 'affordable', 'thank', 'you']","['langgan', 'beli', 'masker', 'kualitas', 'masker', 'bagus', 'kirim', 'cepat', 'harga', 'affordable', 'thank', 'you']","['langgan', 'beli', 'masker', 'kualitas', 'masker', 'bagus', 'kirim', 'cepat', 'harga', 'affordable', 'thank', 'you']","['langgan', 'beli', 'masker', 'kualitas', 'masker', 'bagus', 'kirim', 'cepat', 'harga', 'affordable', 'thank', 'you']",langgan beli masker kualitas masker bagus kirim cepat harga affordable thank you
